fold,model,distance_weighting,voting,n_neighbors,training_rows,test_rows,cell_accuracy,hamming_loss,exact_match_accuracy,mean_target_accuracy,mean_target_precision_macro,mean_target_recall_macro,mean_target_f1_macro
1,majority_baseline,none,majority,,812,203,0.7413402142466182,0.25865978575338183,0.0,0.7413402142466182,0.3503922641853677,0.46366843033509697,0.39479600675298965
1,target_relevance_hotdeck,target_group_raw_mutual_information,unweighted,11.0,812,203,0.7739463601532567,0.2260536398467433,0.0,0.7739463601532566,0.6385058500072942,0.588165993079085,0.5941878163198541
2,majority_baseline,none,majority,,812,203,0.7365704902650716,0.26342950973492846,0.0,0.7365704902650716,0.35146306287521395,0.46719576719576716,0.397000222030454
2,target_relevance_hotdeck,target_group_raw_mutual_information,unweighted,11.0,812,203,0.7747022180519717,0.22529778194802824,0.0,0.7747022180519716,0.6419125111130622,0.6104098776247346,0.6129612842863555
3,majority_baseline,none,majority,,812,203,0.7338858915213595,0.2661141084786405,0.0,0.7338858915213595,0.34971242647761536,0.4667548500881834,0.3954775283688224
3,target_relevance_hotdeck,target_group_raw_mutual_information,unweighted,11.0,812,203,0.775353819688795,0.22464618031120495,0.0,0.7753538196887952,0.6431359455921873,0.6104940326350502,0.6121990100263582
4,majority_baseline,none,majority,,812,203,0.7226262152370527,0.27737378476294733,0.0,0.7226262152370527,0.3421438562653669,0.46366843033509697,0.3894262104345746
4,target_relevance_hotdeck,target_group_raw_mutual_information,unweighted,11.0,812,203,0.7647457450413115,0.23525425495868846,0.0,0.7647457450413118,0.6371055188144757,0.6041505580933936,0.6045575900086745
5,majority_baseline,none,majority,,812,203,0.7382907185862851,0.2617092814137149,0.0,0.7382907185862851,0.34888315479448484,0.46366843033509697,0.3938927546689878
5,target_relevance_hotdeck,target_group_raw_mutual_information,unweighted,11.0,812,203,0.7689941877133996,0.23100581228660047,0.0,0.7689941877133996,0.6241580948117963,0.5950290910815151,0.5927617918395015
